sNo,code,nameEn,nameTa,nameHi,openDate,district,populationGroup,latitude,longitude,pincode,type
41,2703,PC Patti,பி.சி. பட்டி,पीसी पट्टी,2012-01-30,Theni,SEMI URBAN,10.000561,77.467161,625531,Branch
42,2704,T Subbulapuram,டி. சுப்புலாபுரம்,टी सुब्बुलापुरम,2012-01-30,Theni,SEMI URBAN,10.005381,77.649891,625536,Branch
43,2705,V Gopalpatti,வி. கோபால்பட்டி,वी गोपालपट्टी,2012-02-06,Dindigul,SEMI URBAN,10.256011,78.121141,624308,Branch
44,2706,K Reddiarchatram,கே. ரெட்டியார்சத்திரம்,के रेड्डியார்छत्रम,2012-02-06,Dindigul,RURAL,10.4313,77.86549,624622,Branch
45,3164,Sendurai,செந்துறை,सेंतुरै,2013-04-07,Dindigul,SEMI URBAN,10.391411,78.252241,624403,Branch
46,3165,Ponnagaram,பொன்னகரம்,पोन्नगरम,2013-04-12,Dindigul,SEMI URBAN,10.342671,77.991681,624003,Branch
47,3166,Thadikombu,தாடிக்கொம்பு,ताडिकोम्बु,2013-04-12,Dindigul,SEMI URBAN,10.438481,77.952911,624709,Branch
48,3346,Vangamanuthu,வாங்கமானூத்து,वांगमानूथू,2013-08-03,Dindigul,RURAL,10.352541,78.098861,624306,Branch
49,3347,Anaipatti,அணைப்பட்டி,अणैपट्टी,2013-08-03,Dindigul,RURAL,10.095591,77.853351,624219,Branch
50,3436,Kodaikanal,கொடைக்கானல்,कोडैकानल,2013-12-12,Dindigul,SEMI URBAN,10.238661,77.496841,624101,Branch
51,3437,Dharumathupatti,தருமத்துப்பட்டி,धरुमथुपट्टी,2014-02-08,Dindigul,SEMI URBAN,10.342031,77.848551,624705,Branch
52,3548,Boothipuram,பூதிபுரம்,बूथीपुरम,2014-02-06,Theni,SEMI URBAN,10.005411,77.446371,625531,Branch
53,3549,Ambilikai,அம்பிளிகை,அम्बिळिकै,2014-02-08,Dindigul,RURAL,10.539991,77.727871,624612,Branch
54,3920,Balakrishnapuram,பாலகிருஷ்ணாபுரம்,बालकृष्णपुरम,1900-01-00,Dindigul,SEMI URBAN,10.360831,78.008781,624005,Branch
